h1 d	h2 d	h1 cost	h2 cost	h1 time (ns)	h2 time (ns)	h1 time (micros)	h2 time (micros)
24	24	30257	765	5189249767	1662018	5189250	1662
22	22	12195	487	524110769	560819	524111	561
23	23	23231	2258	3739021543	10564231	3739022	10564
23	23	23673	1380	3819519586	14268960	3819520	14269
20	20	5756	853	67205407	1556625	67205	1557
23	23	24020	1854	4540022586	6295806	4540023	6296
24	24	28618	1581	6467083150	4813914	6467083	4814
22	22	12436	1347	685098233	3250263	685098	3250
25	25	49983	3201	18913734394	21189461	18913734	21189
24	24	22848	1440	4053382292	4670516	4053382	4671
26	26	54628	2893	23061312650	22260320	23061313	22260
25	25	51461	3461	19615101822	28342146	19615102	28342
21	21	7766	697	138036978	937361	138037	937
25	25	50080	1940	18948478058	7340157	18948478	7340
22	22	11460	975	376382408	1694914	376382	1695
21	21	8109	1051	152783721	2063790	152784	2064
22	22	12659	675	730072063	921072	730072	921
22	22	12111	690	650842251	952052	650842	952
20	20	5094	601	53311390	690165	53311	690
18	18	1999	389	8013076	329912	8013	330
24	24	27924	1615	6260099861	4785809	6260100	4786
26	26	50069	2912	20081619683	17407761	20081620	17408
24	24	23842	2925	4246448569	17852329	4246449	17852
21	21	6739	410	99549300	355462	99549	355
24	24	23494	1555	4357479659	4476017	4357480	4476
22	22	11138	348	334491488	269231	334491	269
16	16	1345	326	3392064	250708	3392	251
13	13	216	56	147231	20760	147	21
22	22	12606	775	632578888	1119404	632579	1119
22	22	13275	1405	800216982	3335215	800217	3335
19	19	3720	386	29313041	337897	29313	338
27	27	99090	2812	54705515130	21856952	54705515	21857
24	24	31700	2708	7927856123	14318145	7927856	14318
21	21	9857	804	225525145	1180723	225525	1181
21	21	9128	860	201205506	1352866	201206	1353
24	24	29327	2253	7430324560	10253800	7430325	10254
22	22	12118	805	557039435	1168906	557039	1169
24	24	30689	1755	7716640818	5383995	7716641	5384
22	22	13773	1401	690014985	3694510	690015	3695
22	22	13982	1971	954083699	7980181	954084	7980
24	24	31900	3468	8720757221	29390968	8720757	29391
19	19	3707	355	28914783	305001	28915	305
19	19	3033	663	19519777	849533	19520	850
19	19	2890	550	16712486	644495	16712	644
21	21	5907	221	75157163	166713	75157	167
20	20	5381	277	63550179	194499	63550	194
26	26	48517	5702	17427776281	74366715	17427776	74367
25	25	50454	1596	17463956166	4601850	17463956	4602
27	27	97510	1574	50199605765	4561929	50199606	4562
26	26	55748	8865	21441414799	176789736	21441415	176790
23	23	22465	1903	3795251366	7430859	3795251	7431
21	21	8773	752	159293827	1045309	159294	1045
26	26	57609	6483	21596254646	90589282	21596255	90589
24	24	32571	3985	8475460313	33348004	8475460	33348
24	24	22829	2347	4071030222	14767184	4071030	14767
21	21	7633	344	175898046	279451	175898	279
28	28	129126	7963	89165395454	148172609	89165395	148173
28	28	128082	6544	83411978479	110227547	83411978	110228
23	23	23265	2975	3495316070	16187437	3495316	16187
24	24	30588	3915	6227959090	26982255	6227959	26982
16	16	710	55	1037644	18843	1038	19
26	26	62716	3328	24356851772	19344122	24356852	19344
24	24	26342	2388	4366873386	9838934	4366873	9839
15	15	678	107	848575	48544	849	49
21	21	10946	1489	298149679	3816511	298150	3817
17	17	1412	103	3216090	40561	3216	41
24	24	24395	3874	3995430407	26634137	3995430	26634
20	20	4746	342	40487275	267315	40487	267
23	23	23497	1989	3631705403	6806164	3631705	6806
20	20	6157	1398	71311270	3109738	71311	3110
21	21	9614	543	224441831	1166990	224442	1167
16	16	845	360	1320928	275299	1321	275
22	22	11833	448	419008525	371431	419009	371
24	24	32855	3136	7518666731	31885274	7518667	31885
23	23	23864	3729	3479924832	24876307	3479925	24876
23	23	22655	1136	3515538789	2069859	3515539	2070
25	25	49450	4121	16065842002	29917615	16065842	29918
20	20	5593	613	59131650	708690	59132	709
19	19	3909	493	28149564	1558542	28150	1559
19	19	4061	695	31138259	837077	31138	837
25	25	51961	3187	16889813333	17987744	16889813	17988
23	23	23486	2277	3489999782	8840892	3490000	8841
21	21	9695	882	260000217	1343604	260000	1344
23	23	22783	1531	3282478030	4301001	3282478	4301
24	24	26369	3050	5060475573	19121838	5060476	19122
21	21	8249	1312	137413881	3205550	137414	3206
22	22	11477	800	477588297	1236294	477588	1236
17	17	1712	301	5004260	191304	5004	191
27	27	96250	2751	47147573785	14411721	47147574	14412
24	24	23208	2789	3546193517	14704906	3546194	14705
24	24	22590	1453	3477584784	3305833	3477585	3306
26	26	48996	1612	14345859900	4034643	14345860	4035
26	26	50683	3161	15477004802	17687213	15477005	17687
23	23	20352	462	2335281617	433390	2335282	433
22	22	11106	498	276922851	449678	276923	450
25	25	52307	3211	15021809045	20406677	15021809	20407
23	23	23394	2129	3395875357	8225779	3395875	8226
19	19	4307	880	34336144	1461452	34336	1461
14	14	323	62	262205	20759	262	21
26	26	59952	4733	20244273956	52652204	20244274	52652
							
							
							
							
							
							
							
							
							
							
